City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
393,imbituba,-28.24,-28.24,20.48,75,1,3.27,BR,1691388625
394,marsabit,2.3284,2.3284,18.06,65,61,10.61,KE,1691388626
395,adamovka,51.5223,51.5223,24.04,60,5,6.52,RU,1691388627
396,suva,-18.1416,-18.1416,24.71,88,75,2.06,FJ,1691388627
397,lethem,3.3803,3.3803,25.52,73,16,1.63,GY,1691388628
398,zouerate,22.7187,22.7187,22.55,57,0,3.95,MR,1691388629
399,aasiaat,68.7098,68.7098,0.12,76,69,2.33,GL,1691388629
400,keflavik,64.0049,64.0049,11.24,93,75,2.06,IS,1691388460
401,cole harbour,44.6724,44.6724,16.66,86,6,0.45,CA,1691388631
402,luganville,-15.5333,-15.5333,24.17,77,61,3.88,VU,1691388632
403,clarence town,-32.5833,-32.5833,16.95,80,69,2.06,AU,1691388632
404,rongelap,11.1635,11.1635,27.71,81,100,7.27,MH,1691388633
405,salahonda,2.1019,2.1019,27.14,78,97,4.12,CO,1691388634
406,ust-tsilma,65.441,65.441,13.73,93,77,3.17,RU,1691388634
407,yangambi,0.8102,0.8102,22.04,96,100,0.75,CD,1691388635
408,aliveri,38.4167,38.4167,29.31,42,0,2.52,GR,1691388636
409,buka,40.8108,40.8108,33.76,21,63,2.01,UZ,1691388637
410,sechura,-5.5569,-5.5569,21.01,78,6,4.39,PE,1691388637
411,axim,4.8699,4.8699,23.77,92,98,2.88,GH,1691388639
412,sisimiut,66.9395,66.9395,6.87,79,66,0.71,GL,1691388639
413,weno,7.4515,7.4515,29.97,84,100,4.12,FM,1691388640
414,konkwesso,10.8469,10.8469,22.09,97,100,1.63,NG,1691388641
415,rosalie,15.3667,15.3667,26.93,84,64,4.68,DM,1691388642
416,bikenibeu village,1.3673,1.3673,29.98,74,40,1.03,KI,1691388642
417,qamdo,31.1667,31.1667,16.05,41,68,1.26,CN,1691388643
418,visakhapatnam,17.69,17.69,33.5,54,94,4.76,IN,1691388578
419,andreapol',56.6513,56.6513,25.0,65,2,5.36,RU,1691388645
420,tura,25.5198,25.5198,25.37,95,100,2.23,IN,1691388601
421,kill devil hills,36.0307,36.0307,26.01,84,0,4.12,US,1691388646
422,flying fish cove,-10.4217,-10.4217,26.82,78,75,6.17,CX,1691388647
423,chiang mai,18.75,18.75,26.33,89,75,2.57,TH,1691388368
424,gornyak,50.9942,50.9942,27.19,34,54,3.33,RU,1691388648
425,mahriz,31.5917,31.5917,31.88,19,0,1.9,IR,1691388648
426,praia da vitoria,38.7333,38.7333,21.53,91,8,4.06,PT,1691388649
427,la carlota,10.4233,10.4233,29.18,75,58,6.25,PH,1691388650
428,le port,-20.9373,-20.9373,24.38,86,24,2.49,RE,1691388650
429,fort mcmurray,56.7268,56.7268,13.31,96,77,0.67,CA,1691388652
430,ulsteinvik,62.3432,62.3432,14.86,84,100,5.36,NO,1691388652
431,puerto armuelles,8.2833,8.2833,27.27,91,100,1.34,PA,1691388653
432,nadi,-17.8,-17.8,25.0,83,20,2.57,FJ,1691388654
433,sydney mines,46.2367,46.2367,16.56,96,4,0.89,CA,1691388654
434,barczewo,53.8306,53.8306,14.11,92,100,4.36,PL,1691388655
435,chu,43.5983,43.5983,28.28,33,99,4.09,KZ,1691388656
436,sinabang,2.4803,2.4803,26.81,82,100,2.29,ID,1691388657
437,kosong,38.3788,38.3788,23.29,97,100,5.14,KR,1691388657
438,porto barra do ivinheima,-22.9667,-22.9667,19.34,43,43,1.19,BR,1691388658
439,sao gabriel da cachoeira,-0.1303,-0.1303,22.91,98,87,0.5,BR,1691388658
440,lodwar,3.1191,3.1191,26.64,50,40,6.67,KE,1691388659
441,polyarnyy,69.1989,69.1989,15.84,69,72,6.32,RU,1691388660
442,huangnihe,43.5583,43.5583,17.13,95,100,3.63,CN,1691388660
443,bullsbrook,-31.6667,-31.6667,22.17,68,100,2.57,AU,1691388661
444,nadym,65.5333,65.5333,26.34,37,3,2.75,RU,1691388662
445,saint-louis,16.3333,16.3333,25.86,74,98,5.97,SN,1691388662
446,north logan,41.7694,41.7694,20.08,70,0,0.89,US,1691388663
447,fuerte olimpo,-21.0415,-21.0415,24.04,43,9,2.33,PY,1691388664
448,san kamphaeng,18.7449,18.7449,26.3,92,75,2.57,TH,1691388664
449,kasongo-lunda,-6.4667,-6.4667,20.19,38,1,0.53,CD,1691388665
450,zhigalovo,54.8097,54.8097,24.38,63,93,1.91,RU,1691388666
451,conde,-7.2597,-7.2597,21.7,100,40,2.06,BR,1691388666
452,dickson,36.077,36.077,24.87,98,75,4.12,US,1691388667
453,rakvere,59.3464,59.3464,25.6,64,0,6.16,EE,1691388668
454,la peca,-5.6111,-5.6111,19.98,80,33,1.27,PE,1691388668
455,kailua-kona,19.6406,19.6406,27.98,82,75,5.66,US,1691388669
456,nizhniy odes,63.6445,63.6445,21.91,55,5,4.59,RU,1691388670
457,vorkuta,67.5,67.5,21.25,76,96,3.94,RU,1691388671
458,roswell,34.0232,34.0232,21.51,96,20,0.0,US,1691388671
459,babol,36.5513,36.5513,31.69,47,78,2.11,IR,1691388672
460,marat,25.0701,25.0701,36.34,9,0,4.13,SA,1691388673
461,tanjung sepat,2.6579,2.6579,34.91,74,40,2.57,MY,1691388673
462,marica,-22.9194,-22.9194,20.95,69,0,2.04,BR,1691388674
463,bridgewater,44.3835,44.3835,16.17,89,23,0.45,CA,1691388675
464,maragogi,-9.0122,-9.0122,23.76,88,32,5.47,BR,1691388675
465,hell-ville,-13.4,-13.4,23.19,63,1,2.75,MG,1691388676
466,kiruna,67.8557,67.8557,10.51,87,100,0.0,SE,1691388677
467,yurimaguas,-5.9,-5.9,22.13,89,15,0.77,PE,1691388677
468,flin flon,54.7682,54.7682,14.93,78,71,1.72,CA,1691388678
469,vadso,70.0744,70.0744,17.49,77,0,2.57,NO,1691388679
470,castillos,-34.1667,-34.1667,10.45,78,91,6.08,UY,1691388679
471,la'ie,21.6477,21.6477,26.98,77,7,0.45,US,1691388680
472,camiri,-20.05,-20.05,18.17,63,2,1.65,BO,1691388681
473,igarka,67.4667,67.4667,22.81,38,45,6.14,RU,1691388681
474,calama,-22.4667,-22.4667,6.27,16,0,9.26,CL,1691388682
475,ola,59.5833,59.5833,17.86,48,74,3.26,RU,1691388682
476,meadow lake,34.8014,34.8014,28.05,21,57,2.33,US,1691388683
477,saynshand,44.8824,44.8824,29.77,30,3,3.38,MN,1691388684
